ID,business_name,Dine in,Serves food,Serves alcohol,Drinks only,Primarily food,Primarily drinks,Cocktails,beer ,Craft Beer,Draft Beer,Spirits,Wine menu ,Outdoor seating,Takeaway drinks,Heater,By river,LGBT+ Friendly,Family Friendly,Student friendly,Wheelchair accessible ,Rooftop,Good views,Atmospheric ,Cosy,Trendy,Hip,Quirky,Rustic,Casual,Smart,Lively,Fine Dining,Relaxed,Authentic,Snug,Industrial,Impressive,No Frills,Independent,Happy Hour Food,Happy Hour Drinks,Good for kids,Children's menu,Live Music,DJs,Pop-up Events,WiFi,Vegetrian Options,Vegan Options,Fireplace,Late-night Food,visits_count
34,The Social Bar & Café,1,1,1,1,-1,-1,1,1,0,0,1,1,1,-1,1,-1,0,0,0,1,-1,-1,-1,1,-1,-1,-1,-1,1,0,0,-1,0,0,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,At the Well Café & Laundrette,1,1,1,1,1,-1,-1,1,0,0,1,-1,-1,1,-1,-1,0,0,0,0,-1,-1,0,1,-1,-1,-1,0,1,0,-1,-1,0,0,-1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,0,1,1,-1,-1,0
36,Boston Tea Party,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,1,0,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1,1,1,1,-1,-1,1
37,Oowee Vegan,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,1,1,-1,1,0
38,Bianchis,1,1,1,-1,1,-1,1,1,1,0,1,1,-1,-1,-1,-1,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,1,1,0,-1,-1,1,-1,1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0,4
39,The Thali,1,1,1,-1,1,-1,-1,1,0,1,1,1,-1,-1,-1,-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,1,0,-1,-1,1,0,-1,-1,0,-1,1,0,0,1,0,-1,-1,-1,-1,1,0,-1,1,0
40,The Cadbury House,1,1,1,1,-1,1,-1,1,0,1,1,1,1,-1,1,-1,1,0,1,-1,-1,-1,0,1,-1,-1,-1,-1,1,0,1,-1,1,0,-1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,1,1,1,1,-1,2
41,The Old England,1,1,1,1,-1,1,-1,1,0,1,1,1,1,-1,-1,-1,0,0,0,1,-1,-1,0,1,-1,-1,-1,-1,1,0,1,-1,-1,0,-1,-1,-1,-1,1,0,0,-1,-1,1,0,1,0,0,0,1,0,1
42,Papa John's Pizza,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,0
43,The Beaufort,1,-1,1,1,-1,1,-1,1,-1,1,1,1,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,0,-1,0,0,0,0,0,0,0,-1,-1,0,-1,0
